postcode,price,bedrooms,year,month,house
2903,505000,4,2007,11,1.0
2615,379000,3,2007,11,1.0
2604,505000,3,2007,11,1.0
2614,380000,3,2007,11,1.0
2902,655000,4,2007,11,1.0
2603,760000,3,2007,11,1.0
2603,760500,3,2007,11,1.0
2615,442500,4,2007,11,1.0
2902,560000,4,2007,11,1.0
2904,560000,4,2007,11,1.0
2905,335000,3,2007,11,1.0
2605,575000,3,2007,11,1.0
2902,439000,3,2007,11,1.0
2912,308000,1,2007,11,1.0
2906,353000,3,2007,11,1.0
2602,425000,3,2007,11,1.0
2602,825000,3,2007,11,1.0
2615,930000,5,2007,12,1.0
2905,365000,3,2007,12,1.0
2906,387000,3,2007,12,1.0
2906,620000,4,2007,12,1.0
2600,825000,3,2007,12,1.0
2905,335000,3,2007,12,1.0
2902,350000,3,2007,12,1.0
2602,421000,3,2007,12,1.0
2906,545000,4,2007,12,1.0
2605,635000,4,2007,12,1.0
2606,357500,3,2007,12,1.0
2913,400000,4,2007,12,1.0
2612,1105000,4,2007,12,1.0
2602,259000,2,2007,12,1.0
2905,437500,3,2007,12,1.0
2906,530000,4,2007,12,1.0
2602,630000,3,2007,12,1.0
2905,615000,4,2007,12,1.0
2615,332000,3,2007,12,1.0
2902,490000,3,2007,12,1.0
2906,309000,2,2008,1,1.0
2602,413000,3,2008,1,1.0
2905,445000,4,2008,1,1.0
2902,600000,4,2008,1,1.0
2605,417500,2,2008,1,1.0
2913,462500,4,2008,1,1.0
2615,485000,4,2008,1,1.0
2602,580000,4,2008,1,1.0
2601,380000,1,2008,1,1.0
2602,560000,4,2008,1,1.0
2906,575000,4,2008,1,1.0
2612,1035000,4,2008,1,1.0
2602,485000,3,2008,1,1.0
2905,599000,4,2008,2,1.0
2902,349000,3,2008,2,1.0
2905,360000,3,2008,2,1.0
2614,375000,3,2008,2,1.0
2905,405000,3,2008,2,1.0
2617,395000,3,2008,2,1.0
2906,417000,3,2008,2,1.0
2602,560000,3,2008,2,1.0
2903,650000,4,2008,2,1.0
2617,416000,4,2008,2,1.0
2902,749000,4,2008,2,1.0
2904,575000,4,2008,2,1.0
2602,625000,3,2008,2,1.0
2611,610000,5,2008,2,1.0
2615,445000,4,2008,2,1.0
2611,655000,5,2008,2,1.0
2617,500000,4,2008,2,1.0
2602,515000,2,2008,2,1.0
2605,811000,5,2008,2,1.0
2904,590000,4,2008,2,1.0
2905,645000,5,2008,2,1.0
2612,730000,4,2008,2,1.0
2906,342000,3,2008,2,1.0
2617,471000,4,2008,2,1.0
2617,488000,3,2008,2,1.0
2611,646000,4,2008,3,1.0
2615,655000,4,2008,3,1.0
2602,580000,3,2008,3,1.0
2615,405000,3,2008,3,1.0
2611,695000,4,2008,3,1.0
2906,420000,4,2008,4,1.0
2611,503000,3,2008,4,1.0
2906,380000,3,2008,4,1.0
2906,334000,3,2008,4,1.0
2611,395000,3,2008,4,1.0
2615,467500,4,2008,4,1.0
2604,522500,3,2008,4,1.0
2913,635000,5,2008,4,1.0
2617,690000,4,2008,4,1.0
2904,780000,4,2008,4,1.0
2904,679000,5,2008,4,1.0
2602,467000,3,2008,4,1.0
2906,649000,5,2008,4,1.0
2902,675000,4,2008,4,1.0
2905,415000,3,2008,4,1.0
2611,445000,4,2008,4,1.0
2600,292500,1,2008,4,1.0
2602,450000,3,2008,4,1.0
2602,680000,4,2008,4,1.0
2602,950000,4,2008,4,1.0
2602,485000,3,2008,4,1.0
2617,640000,4,2008,5,1.0
2906,332000,2,2008,5,1.0
2906,622500,4,2008,5,1.0
2602,775000,4,2008,5,1.0
2604,575000,2,2008,5,1.0
2604,690000,3,2008,5,1.0
2611,465000,3,2008,5,1.0
2906,635000,5,2008,5,1.0
2906,307000,2,2008,5,1.0
2611,450000,3,2008,5,1.0
2902,442000,3,2008,5,1.0
2611,490000,3,2008,5,1.0
2602,865000,5,2008,5,1.0
2905,430000,4,2008,5,1.0
2905,444000,3,2008,5,1.0
2607,535000,3,2008,5,1.0
2611,542000,4,2008,5,1.0
2906,357000,3,2008,5,1.0
2611,429000,3,2008,6,1.0
2603,1180000,4,2008,6,1.0
2615,375000,4,2008,6,1.0
2605,526000,3,2008,6,1.0
2601,760000,3,2008,6,1.0
2611,447250,3,2008,6,1.0
2602,492500,3,2008,6,1.0
2617,727500,4,2008,6,1.0
2615,360100,4,2008,6,1.0
2605,750000,3,2008,6,1.0
2905,365000,3,2008,6,1.0
2617,670000,4,2008,6,1.0
2903,419000,4,2008,6,1.0
2912,515000,3,2008,6,1.0
2906,340000,3,2008,6,1.0
2914,600000,4,2008,6,1.0
2615,362000,4,2008,6,1.0
2600,765000,5,2008,6,1.0
2602,770000,4,2008,6,1.0
2904,469000,4,2008,6,1.0
2913,367000,3,2008,6,1.0
2905,465000,4,2008,6,1.0
2906,375000,3,2008,6,1.0
2904,505000,4,2008,6,1.0
2602,605000,3,2008,6,1.0
2913,325000,3,2008,6,1.0
2617,421000,3,2008,6,1.0
2903,550000,4,2008,6,1.0
2913,590000,4,2008,6,1.0
2615,522500,4,2008,6,1.0
2604,480000,2,2008,6,1.0
2607,1165000,5,2008,6,1.0
2904,670000,4,2008,7,1.0
2905,375000,3,2008,7,1.0
2614,392500,4,2008,7,1.0
2617,445000,4,2008,7,1.0
2611,383000,3,2008,7,1.0
2906,418000,3,2008,7,1.0
2603,860000,2,2008,7,1.0
2611,418000,3,2008,7,1.0
2614,442000,4,2008,7,1.0
2905,360000,3,2008,7,1.0
2906,495000,4,2008,7,1.0
2602,468000,3,2008,7,1.0
2605,605000,3,2008,7,1.0
2603,1090000,4,2008,7,1.0
2607,558000,4,2008,7,1.0
2614,700000,3,2008,7,1.0
2602,1300000,4,2008,7,1.0
2905,320000,3,2008,7,1.0
2617,415000,3,2008,7,1.0
2906,480000,4,2008,7,1.0
2607,553000,4,2008,7,1.0
2607,885000,4,2008,7,1.0
2615,370000,4,2008,7,1.0
2605,564000,3,2008,7,1.0
2905,365000,3,2008,7,1.0
2600,927000,4,2008,7,1.0
2617,360000,3,2008,7,1.0
2615,390000,4,2008,7,1.0
2615,440000,4,2008,7,1.0
2611,430000,3,2008,8,1.0
2601,595000,3,2008,8,1.0
2617,365000,3,2008,8,1.0
2611,585000,3,2008,8,1.0
2912,602500,4,2008,8,1.0
2906,359000,3,2008,8,1.0
2902,475000,3,2008,8,1.0
2615,315000,3,2008,8,1.0
2615,320000,4,2008,8,1.0
2617,325000,4,2008,8,1.0
2615,341000,3,2008,8,1.0
2617,540000,4,2008,8,1.0
2615,395000,4,2008,8,1.0
2617,370000,3,2008,8,1.0
2602,620000,4,2008,8,1.0
2906,631000,4,2008,8,1.0
2615,405000,4,2008,8,1.0
2605,548000,3,2008,8,1.0
2615,405000,4,2008,8,1.0
2611,420000,3,2008,8,1.0
2611,531500,4,2008,8,1.0
2611,350000,2,2008,8,1.0
2906,365000,3,2008,8,1.0
2905,375000,3,2008,8,1.0
2611,402000,3,2008,8,1.0
2902,420000,3,2008,8,1.0
2913,550000,2,2008,8,1.0
2913,585000,4,2008,8,1.0
2615,279500,2,2008,8,1.0
2615,330000,3,2008,8,1.0
2617,360000,3,2008,8,1.0
2905,370000,3,2008,8,1.0
2611,405000,3,2008,8,1.0
2913,395000,3,2008,8,1.0
2617,490000,4,2008,8,1.0
2905,530000,5,2008,8,1.0
2607,680000,4,2008,8,1.0
2605,495000,4,2008,8,1.0
2617,805000,4,2008,8,1.0
2607,630000,4,2008,8,1.0
2913,400000,3,2008,8,1.0
2614,345000,3,2008,8,1.0
2913,440000,3,2008,8,1.0
2611,510000,4,2008,8,1.0
2905,310000,3,2008,8,1.0
2906,370000,4,2008,8,1.0
2914,465000,4,2008,8,1.0
2905,342000,3,2008,8,1.0
2903,380000,3,2008,9,1.0
2906,345000,3,2008,9,1.0
2615,370000,4,2008,9,1.0
2906,495000,4,2008,9,1.0
2914,541000,4,2008,9,1.0
2600,1380000,5,2008,9,1.0
2615,372000,3,2008,9,1.0
2617,415000,3,2008,9,1.0
2913,335000,3,2008,9,1.0
2913,1150000,5,2008,9,1.0
2615,387000,3,2008,9,1.0
2914,395000,3,2008,9,1.0
2905,400000,4,2008,9,1.0
2617,426000,3,2008,9,1.0
2914,552000,4,2008,9,1.0
2615,349000,3,2008,9,1.0
2900,360500,3,2008,9,1.0
2600,740000,3,2008,9,1.0
2614,371600,4,2008,9,1.0
2607,380000,3,2008,9,1.0
2617,450000,3,2008,9,1.0
2617,427000,4,2008,9,1.0
2913,477000,4,2008,9,1.0
2617,479000,3,2008,9,1.0
2905,321000,2,2008,9,1.0
2617,405000,3,2008,9,1.0
2614,357000,3,2008,9,1.0
2615,360000,4,2008,9,1.0
2617,365000,3,2008,9,1.0
2617,585000,4,2008,9,1.0
2615,343000,3,2008,9,1.0
2914,410000,3,2008,9,1.0
2903,420000,4,2008,9,1.0
2614,420000,3,2008,9,1.0
2600,720000,3,2008,9,1.0
2614,720000,5,2008,9,1.0
2913,320000,3,2008,9,1.0
2902,474000,4,2008,9,1.0
2607,860000,3,2008,9,1.0
2913,460000,3,2008,9,1.0
2602,592000,2,2008,9,1.0
2913,695000,5,2008,9,1.0
2617,346000,3,2008,9,1.0
2615,349950,3,2008,9,1.0
2906,355000,3,2008,9,1.0
2913,362000,3,2008,9,1.0
2905,373000,3,2008,9,1.0
2611,399000,4,2008,9,1.0
2905,422250,3,2008,9,1.0
2611,445000,3,2008,9,1.0
2615,475000,4,2008,9,1.0
2903,485000,5,2008,9,1.0
2605,560500,4,2008,9,1.0
2906,590000,4,2008,9,1.0
2615,595000,4,2008,9,1.0
2605,650000,3,2008,9,1.0
2611,660000,4,2008,9,1.0
2905,675000,4,2008,9,1.0
2611,685000,4,2008,9,1.0
2600,690000,4,2008,9,1.0
2604,975000,3,2008,9,1.0
2906,372000,3,2008,9,1.0
2606,437000,3,2008,9,1.0
2607,411000,3,2008,9,1.0
2903,450000,4,2008,9,1.0
2602,525000,2,2008,9,1.0
2913,312000,3,2008,9,1.0
2617,510000,4,2008,9,1.0
2607,707500,4,2008,9,1.0
2914,755000,4,2008,9,1.0
2617,380000,4,2008,9,1.0
2611,389000,3,2008,9,1.0
2906,415000,3,2008,9,1.0
2611,557000,4,2008,9,1.0
2605,585000,4,2008,9,1.0
2604,595000,2,2008,9,1.0
2906,875000,5,2008,9,1.0
2913,367500,4,2008,9,1.0
2614,372000,3,2008,9,1.0
2605,549000,3,2008,9,1.0
2615,575000,4,2008,9,1.0
2905,594000,4,2008,9,1.0
2612,662500,2,2008,9,1.0
2904,455000,4,2008,10,1.0
2904,390000,3,2008,10,1.0
2906,332000,3,2008,10,1.0
2903,380000,3,2008,10,1.0
2904,405000,4,2008,10,1.0
2905,460000,4,2008,10,1.0
2903,355000,3,2008,10,1.0
2905,473000,4,2008,10,1.0
2611,560000,4,2008,10,1.0
2614,347000,3,2008,10,1.0
2615,359950,3,2008,10,1.0
2602,1030000,3,2008,10,1.0
2904,338500,3,2008,10,1.0
2614,378000,3,2008,10,1.0
2611,400000,4,2008,10,1.0
2904,453000,4,2008,10,1.0
2615,476600,4,2008,10,1.0
2902,677500,4,2008,10,1.0
2602,749950,4,2008,10,1.0
2906,390000,3,2008,10,1.0
2611,435000,3,2008,10,1.0
2617,507500,4,2008,10,1.0
2905,350000,3,2008,10,1.0
2903,399000,3,2008,10,1.0
2914,420000,4,2008,10,1.0
2904,450000,3,2008,10,1.0
2602,525000,2,2008,10,1.0
2602,595000,4,2008,10,1.0
2602,910000,3,2008,10,1.0
2611,395000,3,2008,10,1.0
2605,552500,3,2008,10,1.0
2914,375000,3,2008,10,1.0
2607,440000,3,2008,10,1.0
2617,352000,3,2008,10,1.0
2617,495000,4,2008,10,1.0
2611,530000,4,2008,10,1.0
2612,690000,3,2008,10,1.0
2604,342000,2,2008,10,1.0
2611,420000,3,2008,10,1.0
2602,575000,3,2008,10,1.0
2605,612000,4,2008,10,1.0
2902,349000,3,2008,10,1.0
2905,350000,3,2008,10,1.0
2913,480000,4,2008,10,1.0
2615,342000,3,2008,10,1.0
2617,372500,4,2008,10,1.0
2902,375000,3,2008,10,1.0
2615,408000,4,2008,10,1.0
2914,515000,4,2008,10,1.0
2614,370000,3,2008,10,1.0
2612,657500,4,2008,10,1.0
2617,340000,3,2008,10,1.0
2615,369000,3,2008,10,1.0
2913,419950,3,2008,10,1.0
2906,455000,3,2008,10,1.0
2615,495000,4,2008,10,1.0
2906,765000,4,2008,10,1.0
2913,361000,3,2008,10,1.0
2903,425000,3,2008,10,1.0
2913,498600,4,2008,10,1.0
2617,570000,4,2008,10,1.0
2902,330250,3,2008,10,1.0
2903,337000,3,2008,10,1.0
2615,360000,3,2008,10,1.0
2914,440000,3,2008,10,1.0
2914,475000,4,2008,10,1.0
2615,510000,4,2008,10,1.0
2602,1120000,4,2008,10,1.0
2912,340000,2,2008,10,1.0
2607,676000,4,2008,10,1.0
2906,420000,4,2008,10,1.0
2906,585000,4,2008,10,1.0
2605,720000,5,2008,10,1.0
2615,372000,3,2008,10,1.0
2913,395000,3,2008,10,1.0
2607,544000,4,2008,10,1.0
2900,581650,4,2008,10,1.0
2611,800000,3,2008,10,1.0
2902,330000,3,2008,11,1.0
2615,330000,3,2008,11,1.0
2905,350000,3,2008,11,1.0
2913,360000,3,2008,11,1.0
2905,424000,4,2008,11,1.0
2902,583000,4,2008,11,1.0
2905,359950,3,2008,11,1.0
2602,425000,3,2008,11,1.0
2602,475000,3,2008,11,1.0
2914,477500,4,2008,11,1.0
2603,1425000,3,2008,11,1.0
2611,345000,2,2008,11,1.0
2611,485000,3,2008,11,1.0
2906,557500,4,2008,11,1.0
2906,360000,3,2008,11,1.0
2906,395000,4,2008,11,1.0
2906,415000,4,2008,11,1.0
2906,435000,3,2008,11,1.0
2607,522000,4,2008,11,1.0
2602,757500,3,2008,11,1.0
2906,357000,3,2008,11,1.0
2611,542000,5,2008,11,1.0
2904,567000,4,2008,11,1.0
2904,623700,5,2008,11,1.0
2906,702500,4,2008,11,1.0
2906,324000,3,2008,11,1.0
2906,351000,3,2008,11,1.0
2611,449000,3,2008,11,1.0
2906,515000,4,2008,11,1.0
2913,342500,3,2008,11,1.0
2611,400000,3,2008,11,1.0
2614,462000,3,2008,11,1.0
2902,375000,3,2008,11,1.0
2905,385000,3,2008,11,1.0
2617,380000,3,2008,11,1.0
2614,418000,3,2008,11,1.0
2602,530000,2,2008,11,1.0
2615,350000,4,2008,11,1.0
2913,370000,3,2008,11,1.0
2905,379000,3,2008,11,1.0
2906,385000,3,2008,11,1.0
2602,438000,3,2008,11,1.0
2905,460000,4,2008,11,1.0
2913,635000,4,2008,11,1.0
2603,830000,4,2008,11,1.0
2611,950000,4,2008,11,1.0
2611,455000,4,2008,11,1.0
2914,540000,4,2008,11,1.0
2600,635000,3,2008,11,1.0
2600,950000,3,2008,11,1.0
2905,348000,3,2008,11,1.0
2615,460000,4,2008,11,1.0
2903,497000,4,2008,11,1.0
2906,515000,4,2008,11,1.0
2615,450000,3,2008,11,1.0
2905,475000,4,2008,11,1.0
2607,665000,4,2008,11,1.0
2913,350000,3,2008,11,1.0
2905,392500,3,2008,11,1.0
2615,450000,4,2008,11,1.0
2611,454000,3,2008,11,1.0
2602,475000,3,2008,11,1.0
2617,500000,4,2008,11,1.0
2600,730000,3,2008,11,1.0
2902,510000,4,2008,11,1.0
2604,640000,3,2008,11,1.0
2604,805000,4,2008,11,1.0
2904,387000,4,2008,11,1.0
2905,389950,3,2008,11,1.0
2905,393000,4,2008,11,1.0
2905,395000,3,2008,11,1.0
2905,468500,4,2008,11,1.0
2902,480000,3,2008,11,1.0
2904,485000,4,2008,11,1.0
2912,485000,4,2008,11,1.0
2905,500000,4,2008,11,1.0
2904,547500,4,2008,11,1.0
2607,565000,5,2008,11,1.0
2612,630000,3,2008,11,1.0
2912,490000,4,2008,11,1.0
2611,540000,5,2008,11,1.0
2603,630000,2,2008,11,1.0
2607,735000,5,2008,11,1.0
2905,326000,3,2008,11,1.0
2604,375000,2,2008,11,1.0
2905,453000,4,2008,11,1.0
2903,462500,4,2008,11,1.0
2606,580000,5,2008,11,1.0
2906,327500,3,2008,11,1.0
2913,390000,3,2008,11,1.0
2906,322500,3,2008,11,1.0
2906,335000,3,2008,11,1.0
2615,337500,3,2008,11,1.0
2905,345000,3,2008,11,1.0
2615,345000,3,2008,11,1.0
2913,351000,3,2008,11,1.0
2611,470000,3,2008,11,1.0
2602,540000,3,2008,11,1.0
2906,544000,4,2008,11,1.0
2603,1095000,4,2008,11,1.0
2603,1250000,3,2008,11,1.0
2611,375000,3,2008,11,1.0
2904,395000,3,2008,11,1.0
2905,327500,3,2008,12,1.0
2617,400000,3,2008,12,1.0
2607,450000,3,2008,12,1.0
2611,507500,3,2008,12,1.0
2604,940000,4,2008,12,1.0
2605,1050000,4,2008,12,1.0
2905,320000,3,2008,12,1.0
2905,349750,3,2008,12,1.0
2615,360000,4,2008,12,1.0
2906,410000,4,2008,12,1.0
2615,422500,4,2008,12,1.0
2913,464000,4,2008,12,1.0
2602,529000,3,2008,12,1.0
2903,557500,3,2008,12,1.0
2912,301000,3,2008,12,1.0
2913,320000,3,2008,12,1.0
2617,371000,4,2008,12,1.0
2617,374950,3,2008,12,1.0
2905,385150,3,2008,12,1.0
2902,399950,4,2008,12,1.0
2615,490000,5,2008,12,1.0
2612,512500,3,2008,12,1.0
2611,575000,4,2008,12,1.0
2902,340000,3,2008,12,1.0
2611,360000,3,2008,12,1.0
2906,420000,3,2008,12,1.0
2617,463000,4,2008,12,1.0
2913,470000,4,2008,12,1.0
2617,570000,4,2008,12,1.0
2612,680000,4,2008,12,1.0
2905,299000,3,2008,12,1.0
2913,309000,3,2008,12,1.0
2905,333000,2,2008,12,1.0
2602,430000,3,2008,12,1.0
2913,445000,3,2008,12,1.0
2904,455000,4,2008,12,1.0
2904,493000,5,2008,12,1.0
2611,505000,3,2008,12,1.0
2603,650000,3,2008,12,1.0
2615,378250,3,2008,12,1.0
2611,595000,3,2008,12,1.0
2914,600000,4,2008,12,1.0
2902,672000,4,2008,12,1.0
2615,314000,3,2008,12,1.0
2617,350000,3,2008,12,1.0
2902,355000,3,2008,12,1.0
2905,365000,3,2008,12,1.0
2611,431000,4,2008,12,1.0
2611,470000,4,2008,12,1.0
2617,525000,4,2008,12,1.0
2611,610000,4,2008,12,1.0
2602,855000,4,2008,12,1.0
2904,490000,4,2008,12,1.0
2913,540000,4,2008,12,1.0
2905,695000,4,2008,12,1.0
2906,335000,3,2008,12,1.0
2913,340000,3,2008,12,1.0
2905,385000,3,2008,12,1.0
2906,392000,3,2008,12,1.0
2611,420000,3,2008,12,1.0
2602,435000,2,2008,12,1.0
2902,435000,4,2008,12,1.0
2904,440000,3,2008,12,1.0
2902,480000,4,2008,12,1.0
2604,600000,4,2008,12,1.0
2615,520000,4,2008,12,1.0
2906,351000,4,2008,12,1.0
2912,355000,2,2008,12,1.0
2905,455000,3,2008,12,1.0
2905,470000,4,2008,12,1.0
2903,525000,5,2008,12,1.0
2602,665000,3,2008,12,1.0
2604,805000,4,2008,12,1.0
2603,775000,4,2008,12,1.0
2615,360000,3,2008,12,1.0
2905,373500,3,2008,12,1.0
2606,398000,3,2008,12,1.0
2903,405000,3,2008,12,1.0
2904,472000,4,2008,12,1.0
2611,505000,4,2008,12,1.0
2906,530000,4,2008,12,1.0
2612,625000,2,2008,12,1.0
2906,362500,3,2008,12,1.0
2611,413000,3,2008,12,1.0
2615,420000,4,2008,12,1.0
2913,520000,4,2008,12,1.0
2913,585000,4,2008,12,1.0
2913,378500,3,2008,12,1.0
2615,600000,4,2008,12,1.0
2906,720000,4,2008,12,1.0
2903,416500,3,2008,12,1.0
2902,420000,4,2008,12,1.0
2615,431600,4,2008,12,1.0
2905,339950,3,2008,12,1.0
2905,350000,3,2008,12,1.0
2615,380000,3,2008,12,1.0
2902,428250,3,2008,12,1.0
2611,439000,3,2008,12,1.0
2905,472000,4,2008,12,1.0
2607,499000,4,2008,12,1.0
2611,527000,5,2008,12,1.0
2615,550000,4,2008,12,1.0
2612,716000,3,2008,12,1.0
2603,900000,4,2008,12,1.0
2606,495000,3,2008,12,1.0
2604,540000,3,2008,12,1.0
2603,1375000,4,2008,12,1.0
2603,3500000,5,2008,12,1.0
2617,379000,3,2008,12,1.0
2615,390000,4,2008,12,1.0
2611,399500,3,2008,12,1.0
2914,456000,3,2008,12,1.0
2611,490000,4,2008,12,1.0
2614,585000,4,2008,12,1.0
2611,630000,4,2008,12,1.0
2600,855000,3,2008,12,1.0
2906,355000,3,2008,12,1.0
2905,361500,3,2008,12,1.0
2617,381000,3,2008,12,1.0
2913,390000,3,2008,12,1.0
2905,395000,3,2008,12,1.0
2914,444000,4,2008,12,1.0
2906,450000,4,2008,12,1.0
2906,452000,4,2008,12,1.0
2912,480000,4,2008,12,1.0
2602,500000,3,2008,12,1.0
2602,571000,3,2008,12,1.0
2614,310000,2,2008,12,1.0
2913,369950,3,2008,12,1.0
2615,385000,3,2008,12,1.0
2611,394000,3,2008,12,1.0
2914,400000,4,2008,12,1.0
2906,400000,3,2008,12,1.0
2611,400000,3,2008,12,1.0
2905,400000,3,2008,12,1.0
2904,499000,4,2008,12,1.0
2600,1057500,4,2008,12,1.0
2617,342500,3,2009,1,1.0
2611,450000,4,2009,1,1.0
2602,420000,3,2009,1,1.0
2615,394000,3,2009,1,1.0
2914,410000,4,2009,1,1.0
2904,411500,3,2009,1,1.0
2914,560000,4,2009,1,1.0
2611,383000,3,2009,1,1.0
2902,385000,3,2009,1,1.0
2913,420000,2,2009,1,1.0
2914,585000,4,2009,1,1.0
2913,590000,4,2009,1,1.0
2617,340500,3,2009,1,1.0
2905,410000,3,2009,1,1.0
2903,418000,3,2009,1,1.0
2615,470000,4,2009,1,1.0
2905,609950,4,2009,1,1.0
2914,630000,4,2009,1,1.0
2914,750000,5,2009,1,1.0
2615,420000,3,2009,1,1.0
2615,515000,4,2009,1,1.0
2602,637000,4,2009,1,1.0
2615,315000,3,2009,1,1.0
2914,400000,3,2009,1,1.0
2905,439000,4,2009,1,1.0
2905,330000,3,2009,1,1.0
2614,350000,3,2009,1,1.0
2611,440000,3,2009,1,1.0
2617,462500,4,2009,1,1.0
2604,465000,2,2009,1,1.0
2913,589000,3,2009,1,1.0
2913,640000,4,2009,1,1.0
2905,319950,3,2009,1,1.0
2611,456000,3,2009,1,1.0
2615,585000,4,2009,1,1.0
2617,400000,3,2009,1,1.0
2906,615000,4,2009,1,1.0
2904,688889,4,2009,1,1.0
2913,392000,3,2009,1,1.0
2912,425000,3,2009,1,1.0
2905,465000,4,2009,1,1.0
2602,500000,3,2009,1,1.0
2600,1150000,4,2009,1,1.0
2906,570000,4,2009,1,1.0
2905,308000,3,2009,1,1.0
2615,512000,4,2009,1,1.0
2600,575000,3,2009,1,1.0
2615,315000,3,2009,1,1.0
2906,317500,3,2009,1,1.0
2906,335000,3,2009,1,1.0
2905,360000,3,2009,1,1.0
2905,380000,4,2009,1,1.0
2905,394000,3,2009,1,1.0
2605,570000,4,2009,1,1.0
2612,890000,3,2009,1,1.0
2615,327000,3,2009,1,1.0
2906,350500,3,2009,1,1.0
2905,475000,4,2009,1,1.0
2913,750000,5,2009,1,1.0
2603,2100000,4,2009,1,1.0
2615,325000,3,2009,1,1.0
2913,365000,3,2009,1,1.0
2913,441000,4,2009,1,1.0
2914,450000,3,2009,1,1.0
2906,620000,4,2009,1,1.0
2905,341000,3,2009,1,1.0
2903,395000,3,2009,1,1.0
2602,550000,3,2009,1,1.0
2607,612000,4,2009,1,1.0
2902,450000,3,2009,1,1.0
2611,467500,3,2009,1,1.0
2602,476000,3,2009,1,1.0
2914,525000,4,2009,1,1.0
2617,601000,4,2009,1,1.0
2900,440000,3,2009,1,1.0
2617,495000,3,2009,1,1.0
2913,500000,5,2009,2,1.0
2607,622500,4,2009,2,1.0
2913,335000,2,2009,2,1.0
2615,339000,3,2009,2,1.0
2615,362000,3,2009,2,1.0
2904,390000,4,2009,2,1.0
2904,412000,3,2009,2,1.0
2615,420000,4,2009,2,1.0
2604,485000,2,2009,2,1.0
2614,605000,3,2009,2,1.0
2913,370000,3,2009,2,1.0
2611,440000,4,2009,2,1.0
2905,530000,4,2009,2,1.0
2906,340000,3,2009,2,1.0
2611,435000,4,2009,2,1.0
2617,438000,4,2009,2,1.0
2906,495000,4,2009,2,1.0
2602,620000,4,2009,2,1.0
2906,339000,3,2009,2,1.0
2615,500000,5,2009,2,1.0
2617,510000,4,2009,2,1.0
2913,535000,4,2009,2,1.0
